Spawning 4 workers for 500 images.
/root/lambda-patterns-instance/generate_synthetic_v5.py:1130: DeprecationWarning: 'mode' parameter is deprecated and will be removed in Pillow 13 (2026-10-15)
  return Image.fromarray(arr, mode='RGB')
/root/lambda-patterns-instance/generate_synthetic_v5.py:1130: DeprecationWarning: 'mode' parameter is deprecated and will be removed in Pillow 13 (2026-10-15)
  return Image.fromarray(arr, mode='RGB')
/root/lambda-patterns-instance/generate_synthetic_v5.py:1130: DeprecationWarning: 'mode' parameter is deprecated and will be removed in Pillow 13 (2026-10-15)
  return Image.fromarray(arr, mode='RGB')
/root/lambda-patterns-instance/generate_synthetic_v5.py:1130: DeprecationWarning: 'mode' parameter is deprecated and will be removed in Pillow 13 (2026-10-15)
  return Image.fromarray(arr, mode='RGB')
[63/500] synth_000058.png  (3031, 1626)  anns=14  rate=0.49img/s  eta=14.9min
[64/500] synth_000059.png  (4807, 2862)  anns=12  rate=0.50img/s  eta=14.6min
[65/500] synth_000060.png  (2092, 1104)  anns=15  rate=0.49img/s  eta=14.9min
[66/500] synth_000061.png  (1524, 1109)  anns=13  rate=0.49img/s  eta=14.6min
[67/500] synth_000062.png  (3099, 1397)  anns=13  rate=0.50img/s  eta=14.4min
[68/500] synth_000063.png  (2212, 1060)  anns=15  rate=0.51img/s  eta=14.1min
[69/500] synth_000072.png  (1498, 1085)  anns=8  rate=0.51img/s  eta=14.2min
[70/500] synth_000073.png  (1652, 900)  anns=9  rate=0.51img/s  eta=13.9min
[71/500] synth_000074.png  (1497, 1032)  anns=13  rate=0.52img/s  eta=13.7min
[72/500] synth_000075.png  (1550, 900)  anns=5  rate=0.53img/s  eta=13.5min
[73/500] synth_000064.png  (3104, 1187)  anns=12  rate=0.50img/s  eta=14.2min
[74/500] synth_000065.png  (1827, 1094)  anns=12  rate=0.51img/s  eta=14.0min
[75/500] synth_000066.png  (1900, 1130)  anns=3  rate=0.51img/s  eta=13.8min
[76/500] synth_000067.png  (1400, 1209)  anns=12  rate=0.52img/s  eta=13.6min
[77/500] synth_000076.png  (1523, 1127)  anns=10  rate=0.48img/s  eta=14.5min
[78/500] synth_000077.png  (4764, 2090)  anns=7  rate=0.49img/s  eta=14.3min
[79/500] synth_000078.png  (3553, 1078)  anns=6  rate=0.50img/s  eta=14.1min
[80/500] synth_000079.png  (4900, 2585)  anns=6  rate=0.50img/s  eta=13.9min
[81/500] synth_000080.png  (1978, 982)  anns=6  rate=0.51img/s  eta=13.7min
[82/500] synth_000081.png  (3089, 1845)  anns=14  rate=0.52img/s  eta=13.5min
[83/500] synth_000082.png  (1879, 1037)  anns=15  rate=0.52img/s  eta=13.3min
[84/500] synth_000083.png  (2453, 2243)  anns=12  rate=0.53img/s  eta=13.1min
[85/500] synth_000084.png  (3699, 2317)  anns=20  rate=0.51img/s  eta=13.7min
[86/500] synth_000085.png  (1487, 900)  anns=2  rate=0.51img/s  eta=13.5min
[87/500] synth_000086.png  (2845, 2222)  anns=32  rate=0.52img/s  eta=13.3min
[88/500] synth_000087.png  (1899, 926)  anns=16  rate=0.52img/s  eta=13.1min
[89/500] synth_000088.png  (3019, 1171)  anns=15  rate=0.51img/s  eta=13.5min
[90/500] synth_000089.png  (1400, 1045)  anns=9  rate=0.51img/s  eta=13.3min
[91/500] synth_000090.png  (4838, 2286)  anns=17  rate=0.52img/s  eta=13.2min
[92/500] synth_000091.png  (1714, 1087)  anns=4  rate=0.52img/s  eta=13.0min
[93/500] synth_000096.png  (4856, 1616)  anns=15  rate=0.50img/s  eta=13.5min
[94/500] synth_000097.png  (1400, 1011)  anns=12  rate=0.51img/s  eta=13.4min
[95/500] synth_000098.png  (1450, 1161)  anns=11  rate=0.51img/s  eta=13.2min
[96/500] synth_000099.png  (3884, 1741)  anns=17  rate=0.52img/s  eta=13.0min
[97/500] synth_000104.png  (2078, 900)  anns=7  rate=0.50img/s  eta=13.5min
[98/500] synth_000105.png  (3812, 1456)  anns=19  rate=0.50img/s  eta=13.3min
[99/500] synth_000106.png  (3155, 2269)  anns=6  rate=0.51img/s  eta=13.1min
[100/500] synth_000107.png  (2497, 1899)  anns=17  rate=0.51img/s  eta=13.0min
[101/500] synth_000092.png  (3330, 2892)  anns=17  rate=0.50img/s  eta=13.3min
[102/500] synth_000093.png  (1560, 1177)  anns=13  rate=0.51img/s  eta=13.1min
[103/500] synth_000094.png  (1427, 906)  anns=9  rate=0.51img/s  eta=12.9min
[104/500] synth_000095.png  (1400, 1028)  anns=12  rate=0.52img/s  eta=12.8min
[105/500] synth_000100.png  (1400, 944)  anns=8  rate=0.52img/s  eta=12.7min
[106/500] synth_000101.png  (2916, 986)  anns=13  rate=0.52img/s  eta=12.6min
[107/500] synth_000102.png  (2209, 1076)  anns=15  rate=0.53img/s  eta=12.4min
[108/500] synth_000103.png  (1974, 1025)  anns=7  rate=0.53img/s  eta=12.3min
[109/500] synth_000108.png  (1619, 1166)  anns=3  rate=0.52img/s  eta=12.5min
[110/500] synth_000109.png  (1400, 991)  anns=8  rate=0.52img/s  eta=12.4min
[111/500] synth_000110.png  (3989, 2692)  anns=16  rate=0.53img/s  eta=12.3min
[112/500] synth_000111.png  (1758, 1015)  anns=12  rate=0.53img/s  eta=12.1min
[113/500] synth_000112.png  (3516, 2415)  anns=11  rate=0.52img/s  eta=12.4min
[114/500] synth_000113.png  (1793, 1152)  anns=12  rate=0.52img/s  eta=12.3min
[115/500] synth_000114.png  (1400, 1076)  anns=9  rate=0.53img/s  eta=12.1min
[116/500] synth_000115.png  (4160, 1722)  anns=15  rate=0.53img/s  eta=12.0min
[117/500] synth_000116.png  (1650, 964)  anns=13  rate=0.53img/s  eta=12.1min
[118/500] synth_000117.png  (1890, 931)  anns=6  rate=0.53img/s  eta=12.0min
[119/500] synth_000118.png  (1869, 1276)  anns=6  rate=0.53img/s  eta=11.9min
[120/500] synth_000119.png  (4829, 2137)  anns=14  rate=0.54img/s  eta=11.7min
[121/500] synth_000120.png  (1400, 900)  anns=2  rate=0.51img/s  eta=12.4min
[122/500] synth_000121.png  (3120, 1667)  anns=17  rate=0.51img/s  eta=12.3min
[123/500] synth_000122.png  (3320, 1353)  anns=7  rate=0.52img/s  eta=12.1min
[124/500] synth_000123.png  (1400, 1133)  anns=9  rate=0.52img/s  eta=12.0min
[125/500] synth_000124.png  (4282, 2303)  anns=20  rate=0.51img/s  eta=12.4min
[126/500] synth_000125.png  (2499, 2767)  anns=20  rate=0.51img/s  eta=12.2min
[127/500] synth_000126.png  (2642, 1189)  anns=16  rate=0.51img/s  eta=12.1min
[128/500] synth_000127.png  (4631, 1335)  anns=22  rate=0.52img/s  eta=12.0min
[129/500] synth_000132.png  (1453, 975)  anns=10  rate=0.51img/s  eta=12.2min
[130/500] synth_000133.png  (1438, 900)  anns=7  rate=0.51img/s  eta=12.0min
[131/500] synth_000134.png  (1473, 1056)  anns=13  rate=0.52img/s  eta=11.9min
[132/500] synth_000135.png  (2474, 2970)  anns=14  rate=0.52img/s  eta=11.8min
[133/500] synth_000136.png  (2896, 1044)  anns=13  rate=0.52img/s  eta=11.7min
[134/500] synth_000137.png  (2000, 1094)  anns=17  rate=0.53img/s  eta=11.6min
[135/500] synth_000138.png  (1737, 1103)  anns=10  rate=0.53img/s  eta=11.4min
[136/500] synth_000139.png  (1507, 926)  anns=6  rate=0.54img/s  eta=11.3min
[137/500] synth_000140.png  (3070, 2946)  anns=13  rate=0.52img/s  eta=11.6min
[138/500] synth_000141.png  (4460, 2126)  anns=11  rate=0.53img/s  eta=11.5min
[139/500] synth_000142.png  (4173, 1823)  anns=13  rate=0.53img/s  eta=11.3min
[140/500] synth_000143.png  (4987, 2034)  anns=14  rate=0.53img/s  eta=11.2min
[141/500] synth_000128.png  (3096, 1290)  anns=13  rate=0.53img/s  eta=11.3min
[142/500] synth_000129.png  (3567, 2226)  anns=15  rate=0.53img/s  eta=11.2min
[143/500] synth_000130.png  (2491, 2193)  anns=36  rate=0.54img/s  eta=11.1min
[144/500] synth_000131.png  (1864, 1072)  anns=10  rate=0.54img/s  eta=11.0min
[145/500] synth_000144.png  (1400, 1038)  anns=12  rate=0.54img/s  eta=11.1min
[146/500] synth_000145.png  (4009, 2743)  anns=18  rate=0.54img/s  eta=10.9min
[147/500] synth_000146.png  (1699, 900)  anns=6  rate=0.54img/s  eta=10.8min
[148/500] synth_000147.png  (1400, 991)  anns=9  rate=0.55img/s  eta=10.7min
[149/500] synth_000148.png  (1863, 1083)  anns=10  rate=0.54img/s  eta=10.8min
[150/500] synth_000149.png  (2968, 1119)  anns=8  rate=0.54img/s  eta=10.7min
[151/500] synth_000150.png  (1400, 1070)  anns=11  rate=0.55img/s  eta=10.6min
[152/500] synth_000151.png  (3431, 1423)  anns=6  rate=0.55img/s  eta=10.5min
[153/500] synth_000156.png  (1970, 1183)  anns=1  rate=0.53img/s  eta=11.0min
[154/500] synth_000157.png  (1805, 1052)  anns=4  rate=0.53img/s  eta=10.9min
